--2019-04-11 07:26:23--  http://178.157.14.137/media/interview.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `cubic-out/interview.mp4'

     0K .......... .......... .......... .......... ..........  0% 4,22M 48m7s
    50K .......... .......... .......... .......... ..........  0% 13,9M 31m22s
   100K .......... .......... .......... .......... ..........  0% 9,75M 27m51s
   150K .......... .......... .......... .......... ..........  0% 6,46M 28m45s
   200K .......... .......... .......... .......... ..........  0% 10,7M 26m47s
   250K .......... .......... .......... .......... ..........  0% 6,47M 27m33s
   300K .......... .......... .......... .......... ..........  0% 6,67M 27m58s
   350K .......... .......... .......... .......... ..........  0% 9,65M 27m6s
   400K .......... .......... .......... .......... ..........  0% 10,1M 26m19s
   450K .......... .......... .......... .......... ..........  0% 6,43M 26m51s
   500K .......... .......... .......... .......... ..........  0% 5,56M 27m44s
   550K .......... .......... .......... .......... ..........  0% 8,29M 27m27s
   600K .......... .......... .......... .......... ..........  0% 7,02M 27m34s
   650K .......... .......... .......... .......... ..........  0% 7,04M 27m40s
   700K .......... .......... .......... .......... ..........  0% 6,93M 27m46s
   750K .......... .......... .......... .......... ..........  0% 3,59M 29m34s
   800K .......... .......... .......... .......... ..........  0% 11,7M 28m51s
   850K .......... .......... .......... .......... ..........  0% 4,87M 29m33s
   900K .......... .......... .......... .......... ..........  0% 5,25M 30m2s
   950K .......... .......... .......... .......... ..........  0% 5,85M 30m16s
  1000K .......... .......... .......... .......... ..........  0% 5,94M 30m27s
  1050K .......... .......... .......... .......... ..........  0% 6,33M 30m31s
  1100K .......... .......... .......... .......... ..........  0% 6,36M 30m35s
  1150K .......... .......... .......... .......... ..........  0% 4,58M 31m9s
  1200K .......... .......... .......... .......... ..........  0% 8,58M 30m51s
  1250K .......... .......... .......... .......... ..........  0% 5,52M 31m5s
  1300K .......... .......... .......... .......... ..........  0% 5,50M 31m18s
  1350K .......... .......... .......... .......... ..........  0% 3,95M 32m1s
  1400K .......... .......... .......... .......... ..........  0% 5,32M 32m13s
  1450K .......... .......... .......... .......... ..........  0% 4,00M 32m50s
  1500K .......... .......... .......... .......... ..........  0% 3,92M 33m27s
  1550K .......... .......... .......... .......... ..........  0% 3,29M 34m20s
  1600K .......... .......... .......... .......... ..........  0% 2,81M 35m28s
  1650K .......... .......... .......... .......... ..........  0% 1,79M 37m46s
  1700K .......... .......... .......... .......... ..........  0% 2,96M 38m39s
  1750K .......... .......... .......... .......... ..........  0% 3,13M 39m22s
  1800K .......... .......... .......... .......... ..........  0% 4,06M 39m39s
  1850K .......... .......... .......... .......... ..........  0% 3,99M 39m57s
  1900K .......... .......... .......... .......... ..........  0% 4,00M 40m13s
  1950K .......... .......... .......... .......... ..........  0% 4,01M 40m29s
  2000K .......... .......... .......... .......... ..........  0% 3,59M 40m52s
  2050K .......... .......... .......... .......... ..........  0% 3,77M 41m11s
  2100K .......... .......... .......... .......... ..........  0% 3,04M 41m46s
  2150K .......... .......... .......... .......... ..........  0% 3,96M 41m59s
  2200K .......... .......... .......... .......... ..........  0% 2,97M 42m34s
  2250K .......... .......... .......... .......... ..........  0% 3,21M 43m1s
  2300K .......... .......... .......... .......... ..........  0% 3,12M 43m29s
  2350K .......... .......... .......... .......... ..........  0% 4,22M 43m35s
  2400K .......... .......... .......... .......... ..........  0% 5,50M 43m26s
  2450K .......... .......... .......... .......... ..........  0% 2,79M 44m2s
  2500K .......... .......... .......... .......... ..........  0% 4,78M 44m0s
  2550K .......... .......... .......... .......... ..........  0% 4,03M 44m7s
  2600K .......... .......... .......... .......... ..........  0% 4,15M 44m12s
  2650K .......... .......... .......... .......... ..........  0% 5,81M 44m2s
  2700K .......... .......... .......... .......... ..........  0% 4,40M 44m4s
  2750K .......... .......... .......... .......... ..........  0% 3,99M 44m11s
  2800K .......... .......... .......... .......... ..........  0% 4,07M 44m17s
  2850K .......... .......... .......... .......... ..........  0% 3,73M 44m27s
  2900K .......... .......... .......... .......... ..........  0% 4,65M 44m26s
  2950K .......... .......... .......... .......... ..........  0% 3,19M 44m45s
  3000K .......... .......... .......... .......... ..........  0% 3,93M 44m52s
  3050K .......... .......... .......... .......... ..........  0% 3,42M 45m6s
  3100K .......... .......... .......... .......... ..........  0% 4,03M 45m11s
  3150K .......... .......... .......... .......... ..........  0% 2,49M 45m44s
  3200K .......... .......... .......... .......... ..........  0% 2,02M 46m35s
  3250K .......... .......... .......... .......... ..........  0% 2,68M 47m1s
  3300K .......... .......... .......... .......... ..........  0% 3,05M 47m18s
  3350K .......... .......... .......... .......... ..........  0% 3,46M 47m28s
  3400K .......... .......... .......... .......... ..........  0% 4,17M 47m29s
  3450K .......... .......... .......... .......... ..........  0% 4,15M 47m30s
  3500K .......... .......... .......... .......... ..........  0% 5,51M 47m21s
  3550K .......... .......... .......... .......... ..........  0% 5,71M 47m11s
  3600K .......... .......... .......... .......... ..........  0% 5,64M 47m1s
  3650K .......... .......... .......... .......... ..........  0% 6,36M 46m49s
  3700K .......... .......... .......... .......... ..........  0% 7,37M 46m34s
  3750K .......... .......... .......... .......... ..........  0% 6,23M 46m22s
  3800K .......... .......... .......... .......... ..........  0% 6,03M 46m12s
  3850K .......... .......... .......... .......... ..........  0% 6,26M 46m2s
  3900K .......... .......... .......... .......... ..........  0% 5,44M 45m55s
  3950K .......... .......... .......... .......... ..........  0% 6,32M 45m44s
  4000K .......... .......... .......... .......... ..........  0% 5,51M 45m38s
  4050K .......... .......... .......... .......... ..........  0% 5,96M 45m29s
  4100K .......... .......... .......... .......... ..........  0% 5,98M 45m20s
  4150K .......... .......... .......... .......... ..........  0% 5,10M 45m16s
  4200K .......... .......... .......... .......... ..........  0% 6,47M 45m6s
  4250K .......... .......... .......... .......... ..........  0% 5,99M 44m58s
  4300K .......... .......... .......... .......... ..........  0% 4,96M 44m56s
  4350K .......... .......... .......... .......... ..........  0% 6,08M 44m48s
  4400K .......... .......... .......... .......... ..........  0% 5,84M 44m41s
  4450K .......... .......... .......... .......... ..........  0% 6,13M 44m33s
  4500K .......... .......... .......... .......... ..........  0% 3,84M 44m38s
  4550K .......... .......... .......... .......... ..........  0% 5,98M 44m31s
  4600K .......... .......... .......... .......... ..........  0% 3,11M 44m44s
  4650K .......... .......... .......... .......... ..........  0% 3,64M 44m51s
  4700K .......... .......... .......... .......... ..........  0% 2,39M 45m16s
  4750K .......... .......... .......... .......... ..........  0% 4,38M 45m17s
  4800K .......... .......... .......... .......... ..........  0% 2,31M 45m43s
  4850K .......... .......... .......... .......... ..........  0% 3,47M 45m50s
  4900K .......... .......... .......... .......... ..........  0% 2,38M 46m14s
  4950K .......... .......... .......... .......... ..........  0% 2,85M 46m29s
  5000K .......... .......... .......... .......... ..........  0% 1,72M 47m11s
  5050K .......... .......... .......... .......... ..........  0% 1,77M 47m51s
  5100K .......... .......... .......... .......... ..........  0% 1,67M 48m33s
  5150K .......... .......... .......... .......... ..........  0% 2,10M 49m1s
  5200K .......... .......... .......... .......... ..........  0% 3,01M 49m11s
