--2019-04-11 09:31:29--  http://178.157.14.137/media/interview.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `cubic-out/interview.mp4'

  4650K .......... .......... .......... .......... ..........  0% 1,75M 75m50s
  4700K .......... .......... .......... .......... ..........  0% 2,50M 75m53s
  4750K .......... .......... .......... .......... ..........  0% 2,55M 75m55s
  4800K .......... .......... .......... .......... ..........  0% 2,41M 76m0s
  4850K .......... .......... .......... .......... ..........  0% 1,73M 76m25s
  4900K .......... .......... .......... .......... ..........  0% 1,79M 76m47s
  4950K .......... .......... .......... .......... ..........  0% 1,78M 77m9s
  5000K .......... .......... .......... .......... ..........  0% 1,68M 77m35s
  5050K .......... .......... .......... .......... ..........  0% 1,45M 78m11s
  5100K .......... .......... .......... .......... ..........  0% 1,67M 78m36s
  5150K .......... .......... .......... .......... ..........  0% 2,15M 78m45s
  5200K .......... .......... .......... .......... ..........  0% 2,32M 78m49s
  5250K .......... .......... .......... .......... ..........  0% 1,72M 79m11s
  5300K .......... .......... .......... .......... ..........  0% 1,98M 79m24s
  5350K .......... .......... .......... .......... ..........  0% 2,20M 79m31s
  5400K .......... .......... .......... .......... ..........  0% 1,14M 80m25s
  5450K .......... .......... .......... .......... ..........  0% 1,59M 80m50s
  5500K .......... .......... .......... .......... ..........  0% 3,00M 80m42s
  5550K .......... .......... .......... .......... ..........  0% 3,12M 80m34s
  5600K .......... .......... .......... .......... ..........  0% 4,05M 80m18s
  5650K .......... .......... .......... .......... ..........  0% 3,03M 80m10s
  5700K .......... .......... .......... .......... ..........  0% 2,40M 80m12s
  5750K .......... .......... .......... .......... ..........  0% 2,15M 80m19s
  5800K .......... .......... .......... .......... ..........  0% 1,32M 80m57s
  5850K .......... .......... .......... .......... ..........  0%  888K 82m11s
  5900K .......... .......... .......... .......... ..........  0% 1,99M 82m21s
  5950K .......... .......... .......... .......... ..........  0% 1,89M 82m33s
  6000K .......... .......... .......... .......... ..........  0% 1,33M 83m7s
  6050K .......... .......... .......... .......... ..........  0% 1,38M 83m38s
