--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

  4900K .......... .......... .......... .......... ..........  1%  670K 1h45m
  4950K .......... .......... .......... .......... ..........  1%  738K 1h45m
  5000K .......... .......... .......... .......... ..........  1%  792K 1h45m
  5050K .......... .......... .......... .......... ..........  1%  656K 1h45m
  5100K .......... .......... .......... .......... ..........  1%  646K 1h45m
  5150K .......... .......... .......... .......... ..........  1%  689K 1h45m
  5200K .......... .......... .......... .......... ..........  1%  742K 1h44m
  5250K .......... .......... .......... .......... ..........  1%  652K 1h44m
  5300K .......... .......... .......... .......... ..........  1%  990K 1h44m
  5350K .......... .......... .......... .......... ..........  1%  693K 1h44m
  5400K .......... .......... .......... .......... ..........  1%  521K 1h44m
  5450K .......... .......... .......... .......... ..........  1%  797K 1h44m
  5500K .......... .......... .......... .......... ..........  1%  685K 1h43m
  5550K .......... .......... .......... .......... ..........  1%  689K 1h43m
  5600K .......... .......... .......... .......... ..........  1%  560K 1h43m
  5650K .......... .......... .......... .......... ..........  1%  464K 1h44m
  5700K .......... .......... .......... .......... ..........  1%  432K 1h44m
  5750K .......... .......... .......... .......... ..........  1%  591K 1h44m
  5800K .......... .......... .......... .......... ..........  1%  528K 1h44m
  5850K .......... .......... .......... .......... ..........  1%  521K 1h44m
  5900K .......... .......... .......... .......... ..........  1%  642K 1h44m
  5950K .......... .......... .......... .......... ..........  1%  715K 1h44m
  6000K .......... .......... .......... .......... ..........  1%  870K 1h44m
  6050K .......... .......... .......... .......... ..........  1%  875K 1h43m
  6100K .......... .......... .......... .......... ..........  1%  692K 1h43m
  6150K .......... .......... .......... .......... ..........  1%  622K 1h43m
  6200K .......... .......... .......... .......... ..........  1%  679K 1h43m
  6250K .......... .......... .......... .......... ..........  1%  528K 1h43m
  6300K .......... .......... .......... .......... ..........  1%  472K 1h44m
  6350K .......... .......... .......... .......... ..........  1%  486K 1h44m
  6400K .......... .......... .......... .......... ..........  1%  600K 1h44m
